Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
D1,1N4148W,D_SOD-123,73.605,-54.67305,90.0,bottom
D2,1N4148W,D_SOD-123,92.655,-54.67305,90.0,bottom
D3,1N4148W,D_SOD-123,125.9925,-54.67305,90.0,bottom
D4,1N4148W,D_SOD-123,145.0425,-54.67305,90.0,bottom
D5,1N4148W,D_SOD-123,165.192958,-54.122382,100.0,bottom
D6,1N4148W,D_SOD-123,183.953545,-57.430379,100.0,bottom
D7,1N4148W,D_SOD-123,202.714133,-60.738377,100.0,bottom
D8,1N4148W,D_SOD-123,221.474721,-64.046375,100.0,bottom
D9,1N4148W,D_SOD-123,240.235309,-67.354373,100.0,bottom
D10,1N4148W,D_SOD-123,292.438131,-63.936108,80.0,bottom
D11,1N4148W,D_SOD-123,311.198719,-60.62811,80.0,bottom
D12,1N4148W,D_SOD-123,329.959307,-57.320112,80.0,bottom
D13,1N4148W,D_SOD-123,348.719894,-54.012114,80.0,bottom
D14,1N4148W,D_SOD-123,368.88,-53.72055,90.0,bottom
D15,1N4148W,D_SOD-123,387.93,-54.67305,90.0,bottom
D16,1N4148W,D_SOD-123,416.505,-54.67305,90.0,bottom
D17,1N4148W,D_SOD-123,454.605,-54.67305,90.0,bottom
D18,1N4148W,D_SOD-123,473.655,-54.67305,90.0,bottom
D19,1N4148W,D_SOD-123,492.705,-54.67305,90.0,bottom
D20,1N4148W,D_SOD-123,511.755,-54.67305,90.0,bottom
D21,1N4148W,D_SOD-123,73.605,-73.72305,90.0,bottom
D22,1N4148W,D_SOD-123,92.655,-73.72305,90.0,bottom
D23,1N4148W,D_SOD-123,125.9925,-73.72305,90.0,bottom
D24,1N4148W,D_SOD-123,149.805,-73.72305,90.0,bottom
D25,1N4148W,D_SOD-123,171.265254,-74.536968,100.0,bottom
D26,1N4148W,D_SOD-123,190.025842,-77.844966,100.0,bottom
D27,1N4148W,D_SOD-123,208.786429,-81.152964,100.0,bottom
D28,1N4148W,D_SOD-123,227.547017,-84.460961,100.0,bottom
D29,1N4148W,D_SOD-123,286.365835,-84.350694,80.0,bottom
D30,1N4148W,D_SOD-123,305.126423,-81.042697,80.0,bottom
D31,1N4148W,D_SOD-123,323.887011,-77.734699,80.0,bottom
D32,1N4148W,D_SOD-123,342.647598,-74.426701,80.0,bottom
D33,1N4148W,D_SOD-123,364.1175,-72.77055,90.0,bottom
D34,1N4148W,D_SOD-123,383.1675,-73.72305,90.0,bottom
D35,1N4148W,D_SOD-123,402.2175,-73.72305,90.0,bottom
D36,1N4148W,D_SOD-123,426.03,-73.72305,90.0,bottom
D37,1N4148W,D_SOD-123,454.605,-73.72305,90.0,bottom
D38,1N4148W,D_SOD-123,473.655,-73.72305,90.0,bottom
D39,1N4148W,D_SOD-123,492.705,-73.72305,90.0,bottom
D40,1N4148W,D_SOD-123,511.755,-83.24805,90.0,bottom
D41,1N4148W,D_SOD-123,73.605,-92.77305,90.0,bottom
D42,1N4148W,D_SOD-123,92.655,-92.77305,90.0,bottom
D43,1N4148W,D_SOD-123,126.46875,-92.77305,90.0,bottom
D44,1N4148W,D_SOD-123,152.6625,-92.77305,90.0,bottom
D45,1N4148W,D_SOD-123,172.647403,-94.124555,100.0,bottom
D46,1N4148W,D_SOD-123,191.407991,-97.432553,100.0,bottom
D47,1N4148W,D_SOD-123,210.168578,-100.740551,100.0,bottom
D48,1N4148W,D_SOD-123,228.929166,-104.048549,100.0,bottom
D49,1N4148W,D_SOD-123,294.36398,-102.284283,80.0,bottom
D50,1N4148W,D_SOD-123,313.124568,-98.976285,80.0,bottom
D51,1N4148W,D_SOD-123,331.885155,-95.668287,80.0,bottom
D52,1N4148W,D_SOD-123,350.645743,-92.360289,80.0,bottom
D53,1N4148W,D_SOD-123,370.785,-92.77305,90.0,bottom
D54,1N4148W,D_SOD-123,389.835,-92.77305,90.0,bottom
D55,1N4148W,D_SOD-123,420.79125,-92.77305,90.0,bottom
D56,1N4148W,D_SOD-123,454.605,-92.77305,90.0,bottom
D57,1N4148W,D_SOD-123,473.655,-92.77305,90.0,bottom
D58,1N4148W,D_SOD-123,492.705,-92.77305,90.0,bottom
D59,1N4148W,D_SOD-123,73.605,-111.82305,90.0,bottom
D60,1N4148W,D_SOD-123,92.655,-111.82305,90.0,bottom
D61,1N4148W,D_SOD-123,128.37375,-111.82305,90.0,bottom
D62,1N4148W,D_SOD-123,159.33,-111.82305,90.0,bottom
D63,1N4148W,D_SOD-123,179.657728,-114.704542,100.0,bottom
D64,1N4148W,D_SOD-123,198.418316,-118.01254,100.0,bottom
D65,1N4148W,D_SOD-123,217.178904,-121.320537,100.0,bottom
D66,1N4148W,D_SOD-123,235.939492,-124.628535,100.0,bottom
D67,1N4148W,D_SOD-123,287.353654,-122.864269,80.0,bottom
D68,1N4148W,D_SOD-123,306.114242,-119.556271,80.0,bottom
D69,1N4148W,D_SOD-123,324.87483,-116.248274,80.0,bottom
D70,1N4148W,D_SOD-123,343.635418,-112.940276,80.0,bottom
D71,1N4148W,D_SOD-123,364.1175,-111.82305,90.0,bottom
D72,1N4148W,D_SOD-123,383.1675,-111.82305,90.0,bottom
D73,1N4148W,D_SOD-123,409.36125,-111.82305,90.0,bottom
D74,1N4148W,D_SOD-123,454.605,-111.82305,90.0,bottom
D75,1N4148W,D_SOD-123,473.655,-111.82305,90.0,bottom
D76,1N4148W,D_SOD-123,492.705,-111.82305,90.0,bottom
D77,1N4148W,D_SOD-123,511.755,-121.34805,90.0,bottom
D78,1N4148W,D_SOD-123,73.605,-130.87305,90.0,bottom
D79,1N4148W,D_SOD-123,92.655,-130.87305,90.0,bottom
D80,1N4148W,D_SOD-123,121.23,-130.87305,90.0,bottom
D81,1N4148W,D_SOD-123,175.804258,-133.744182,98.5,bottom
D82,1N4148W,D_SOD-123,216.215979,-140.494625,100.0,bottom
D83,1N4148W,D_SOD-123,281.281358,-143.278856,80.0,bottom
D84,1N4148W,D_SOD-123,311.767313,-137.903359,80.0,bottom
D85,1N4148W,D_SOD-123,347.713231,-133.0829,84.0,bottom
D86,1N4148W,D_SOD-123,416.505,-130.87305,90.0,bottom
D87,1N4148W,D_SOD-123,464.13,-130.87305,90.0,bottom
D88,1N4148W,D_SOD-123,492.705,-130.87305,90.0,bottom
